Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
0.0,0.0,0.0,0.0,0.0,0.0,0.0
446.02134,449.99795,387.62584,390.0,10.77926916,4543.2431773,0.421479704224
393.99982,393.99982,370.00545,370.94491,0.71554983,277.845326277,0.388296264814
370.1167,393.21657,370.1167,380.02001,6.67925623,2591.80051992,0.388037294973
390.0,390.0,390.0,390.0,2.0,780.0,0.39
380.05005,380.05005,370.10001,370.11002,0.275,102.4610042,0.372585469818
389.51342,389.97999,355.0,355.0,20.27,7557.10124716,0.372821965819
359.97997,369.6289,322.11186,322.11186,38.10892397,12816.8988474,0.33632276937300004
315.15148,330.0,273.32564,330.0,18.72145726,5862.37577483,0.313136722928
320.00001,349.84513,300.0,349.84513,53.40589682,16835.6026168,0.31523864627799997
315.06119,341.70602,315.06119,341.70602,0.421,141.4762129,0.336048011639
348.95949,370.0,348.95949,370.0,9.89973773,3484.95976765,0.352025463977
335.46848,399.996,335.16179,370.19002,28.11519805,10348.0888047,0.368060320483
366.99999,378.98999,355.5917,355.5917,7.77771339,2867.65999889,0.36870219498900003
378.82957,378.99999,357.17516,357.17874,0.46176373,169.754057037,0.367621027829
359.53202,379.97,352.83413,379.97,16.64574342,6280.52462934,0.377305144677
370.10392,400.0,370.10021,400.0,20.83296055,8148.94536703,0.39115637681300003
400.0,418.98998,395.27823,411.25545,29.7296931,12144.4980899,0.40849725723799996
395.04332,400.30913,385.47712,400.30913,11.22832406,4432.20196823,0.39473406222900004
398.38752,398.38752,374.61003,389.14365,16.08419864,6149.59523426,0.382337682585
385.8576,385.8576,376.73067,381.0105,0.05216063,19.944380064,0.382364631409
371.00373,395.79193,371.00373,395.79193,0.95977536,367.554581085,0.382958967695
0.0,0.0,0.0,0.0,0.0,0.0,0.0
391.24176,391.24176,391.24176,391.24176,0.05,19.562088,0.39124176
390.57523,391.58111,371.00001,391.58111,10.23525506,3882.15579034,0.379292530335
391.58111,393.49234,371.37843,388.70532,2.34818827,916.621463716,0.390352628631
374.0,374.0,365.0,368.63955,11.95253549,4403.60940938,0.368424708972
368.36564,373.69072,355.0,373.34819,7.60272215,2790.64029904,0.367058041052
363.00001,363.00001,355.0,359.51172,7.81320053,2795.30124573,0.35776647930600003
360.0,384.71905,360.0,362.5,6.12094841,2229.56856798,0.364252141765
368.15412,368.15412,364.3,364.3,0.04323896,15.7651265365,0.364604665249
352.01024,365.12521,352.01024,365.12521,0.58976373,211.749534896,0.359041297598
350.00001,350.00001,335.00987,335.06565,8.87321215,3050.00131087,0.343731363492
335.00167,350.0,335.0,346.02084,7.56041171,2554.41481127,0.33786715714000004
344.29,347.95,344.29,347.95,0.03559,12.3321541,0.346506156224
340.09209,340.15346,320.00001,320.00001,5.66358534,1856.32181564,0.327764429102
320.00001,325.18843,320.00001,323.93959,0.11539963,37.3774958093,0.323896149487
325.18843,325.18843,325.0,325.0,4.96861786,1614.80308985,0.32500045995800003
325.0,330.0,325.0,325.0,16.8684394,5504.37652438,0.32631213794299996
329.9967,348.20467,328.20467,328.20467,9.72999417,3229.98206513,0.33196135667700005
349.1749,349.1749,348.0,348.0,0.04009,13.9830548779,0.348791590868
333.0,348.0,333.0,347.07869,6.60293077,2225.92326748,0.337111404772
341.08607,349.99681,330.16235,349.99681,4.81004908,1655.50887754,0.344177127926
347.67065,350.0,338.66092,350.0,19.35630129,6726.48873114,0.347508991019
350.04915,370.0,350.04915,355.0,3.56880398,1260.80375099,0.353284674097
367.0,372.63182,360.51753,371.69669,5.42261473,1991.37665581,0.367235504451
383.33812,430.35988,379.99,423.48202,219.46096288,88844.0402477,0.404828444575
423.28208,450.0,380.0,415.00001,65.8841301,27127.8935235,0.411751562664
415.0,417.77095,395.0,395.0,23.16341934,9488.21040292,0.40962045644699996
385.78423,385.78423,378.97188,379.99,10.67866498,4048.06913937,0.37908007667099997
394.99999,394.99999,379.55697,380.0,1.56013,593.308319399,0.380294154589
394.999,414.26253,376.0026,400.0,25.2711487,10229.1686419,0.404776560154
390.0,395.0,370.39134,375.02445,13.22776296,5142.28206443,0.38874918457400004
392.95752,392.95752,375.33574,389.99799,0.92561078,359.269285824,0.38814293608899997
389.99797,389.99797,354.32911,354.38194,67.06789779,24559.8940719,0.36619448173
350.40522,360.0,342.65995,360.0,1.642,587.06441872,0.357530096663
360.0,369.99999,360.0,369.99999,4.05,1459.4609595,0.360360730741
360.0,370.0,360.0,370.0,4.7640149,1747.89815245,0.366896029743
370.0,385.00001,370.0,372.00001,11.24075347,4219.66043139,0.375389465008
389.99,390.0,376.0,376.0,10.132409,3932.921045,0.388152614546
372.0,389.94381,366.4212,372.87268,19.2376702,7396.47696612,0.384478831856
385.68775,385.68775,365.01441,376.90071,2.3818524,895.250659012,0.37586319749
380.0,387.0,360.52323,387.0,23.27336303,8810.11265635,0.378549187111
386.999,387.0,379.08519,379.08519,4.1988605,1617.12233591,0.385133618017
386.31957,386.31957,386.31957,386.31957,0.00159536,0.616318789195,0.38631957
385.35387,386.744,370.13181,374.02594,4.17619,1562.32532708,0.374103028618
380.0,386.15427,372.90994,375.0971,4.66812703,1761.47805249,0.37734149931399996
375.29089,384.88368,371.45606,380.0,22.62850461,8517.88763605,0.376422913615
380.0,380.0,364.71891,379.74829,3.76303172,1394.61078549,0.370608299176
379.74826,380.0,375.18588,375.18589,4.68287,1768.27720523,0.377605443933
375.18588,394.59,367.00002,374.0,34.16865673,13119.9983695,0.383977587214
374.0,389.97692,370.43133,373.07,0.38178769,142.545689909,0.37336376641499996
374.56,376.05999,360.29399,375.99888,4.58843543,1699.30160504,0.37034445203899996
362.58,375.91714,342.46027,345.48514,6.58012269,2310.00307067,0.351057750667
346.87,357.5,345.55613,345.55613,0.16071,56.7688900523,0.353238068896
